法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,
臺灣臺南地方法院,055法登3,3,變更登記,財團法人台南市兩廣同鄉會,082/05/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAJ&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TND&fg=1,
臺灣臺南地方法院,055法登6,6,變更登記,財團法人南部台灣基督長老教會,055/07/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAK&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=TND&fg=1,
臺灣臺南地方法院,055法登50,50,設立登記,財團法人台灣省台南市天主教聖德蘭文教團,055/03/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaXAAA&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000050&ef=TND&fg=1,
臺灣臺南地方法院,055法登51,51,設立登記,財團法人台灣省台南基督教美意會,055/10/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaXAAB&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000051&ef=TND&fg=1,
臺灣臺南地方法院,055法登52,52,設立登記,財團法人台灣省台南市天宮,055/11/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaXAAC&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000052&ef=TND&fg=1,
臺灣臺南地方法院,055法登53,53,設立登記,財團法人台灣省台南天主教仁愛修女會,055/12/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaYAAD&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000053&ef=TND&fg=1,
臺灣臺南地方法院,056法登54,54,設立登記,財團法人台灣省台南縣私立昭明初級中學董事會,056/01/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAE&bc=056&cd=%AA%6B%B5%6E++++++++++++++++&de=000054&ef=TND&fg=1,
臺灣臺南地方法院,056法登55,55,設立登記,財團法人私立南榮工業專科學校董事會,056/04/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAF&bc=056&cd=%AA%6B%B5%6E++++++++++++++++&de=000055&ef=TND&fg=1,
臺灣臺南地方法院,056法登56,56,設立登記,財團法人私立遠東工業專科學校董事會,056/08/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAG&bc=056&cd=%AA%6B%B5%6E++++++++++++++++&de=000056&ef=TND&fg=1,
臺灣臺南地方法院,056法登57,57,設立登記,財團法人私立台南家政專科學校董事會,056/12/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAH&bc=056&cd=%AA%6B%B5%6E++++++++++++++++&de=000057&ef=TND&fg=1,
臺灣臺南地方法院,056登法人1,6,變更登記,財團法人台灣基督長老教會,066/04/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGEaAAI&bc=056&cd=%B5%6E%AA%6B%A4%48++++++++++++++&de=000001&ef=TND&fg=1,
臺灣臺南地方法院,057法登58,58,設立登記,財團法人台灣省台南市巴海大同教地方靈體會,057/03/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbEAAI&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000058&ef=TND&fg=1,
臺灣臺南地方法院,057法登59,59,設立登記,財團法人台灣省台南縣私立陽明初級中學,057/04/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbEAAJ&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000059&ef=TND&fg=1,
臺灣臺南地方法院,057法登60,60,設立登記,財團法人私立中華醫事技術專科學校,057/07/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbEAAK&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000060&ef=TND&fg=1,
臺灣臺南地方法院,057法登61,61,設立登記,財團法人台南縣私立明達初級中學董事會,057/10/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbIAAA&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000061&ef=TND&fg=1,
臺灣臺南地方法院,057法登62,62,設立登記,財團法人台灣省台南市逢甲醫院,057/12/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbIAAB&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000062&ef=TND&fg=1,
臺灣臺南地方法院,058法登1,63,設立登記,財團法人台灣省台南市基督教浸信會,058/02/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMb0AAJ&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TND&fg=1,
臺灣臺南地方法院,058法登5,67,設立登記,財團法人台灣省台南市關帝聖堂,058/11/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMb0AAK&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=TND&fg=1,
臺灣臺南地方法院,058法登64,64,設立登記,財團法人中華基督復興會總會,058/02/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMb4AAA&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000064&ef=TND&fg=1,
臺灣臺南地方法院,058法登65,65,設立登記,財團法人私立南台工業技藝專科學校董事會,058/10/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcEAAB&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000065&ef=TND&fg=1,
臺灣臺南地方法院,058法登66,66,設立登記,財團法人台灣省台南縣白河鎮大仙寺,058/10/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMcEAAC&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000066&ef=TND&fg=1,
臺灣臺南地方法院,059法登1,2,設立登記,財團法人台灣省台南區司法保護會分會,059/08/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa4AAE&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TND&fg=1,
臺灣臺南地方法院,059法登2,69,設立登記,財團法人台灣省台南市豁落院仁慈堂,059/07/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa4AAF&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=TND&fg=1,
臺灣臺南地方法院,059法登3,70,設立登記,財團法人台南縣白河鎮火山碧雲寺,059/11/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa4AAG&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TND&fg=1,
臺灣臺南地方法院,059法登18,18,變更登記,財團法人天主教味增爵會,059/09/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGliAAE&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000018&ef=TND&fg=1,
臺灣臺南地方法院,059法登34,34,變更登記,財團法人台灣省台南市基督教傳道會總會,059/03/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa4AAH&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000034&ef=TND&fg=1,
臺灣臺南地方法院,059法登68,68,設立登記,財團法人台灣省私立台南救濟院,045/10/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa4AAI&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000068&ef=TND&fg=1,
臺灣臺南地方法院,060法登1,72,設立登記,財團法人台灣省台南市復興路基督教會,060/02/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMawAAK&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TND&fg=1,
臺灣臺南地方法院,060法登2,71,設立登記,財團法人黃朝琴獎學基金會,062/02/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa0AAA&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=TND&fg=1,
